propertyid,address,city,state,zipcode,price,bedrooms,bathrooms,squarefeet,geometry
38528132,1670 NE 191ST ST APT 207,Miami,FL,33179,150000.0,2.0,2.0,1315.0,POINT(-80.168938 25.949077)
38528131,2985 NW 28TH ST,Miami,FL,33142,578501.0567366581,2.0,1.0,1108.0,POINT(-80.243732 25.801872)
38528142,851 NE 1ST AVE PH 5211,Miami,FL,33132,4500000.0,3.253236331756704,2.4041736648413257,3852.0,POINT(-80.191819 25.782462)
38528136,672 NW 135TH CT,Miami,FL,33182,117500.0,3.0,2.0,2203.0,POINT(-80.41448 25.773557)
38528145,832 NW 77TH ST,Miami,FL,33150,14100.0,2.0,2.0,1008.0,POINT(-80.211833 25.844594)
38528148,7830 SW 97TH CT,Miami,FL,33173,578501.0567366581,4.0,2.0,2661.0,POINT(-80.350986 25.695254)
38528144,3032 NW 33RD ST,Miami,FL,33142,84000.0,3.0,1.0,1816.0,POINT(-80.244855 25.805939)
38528143,851 NE 1ST AVE UNIT 3612,Miami,FL,33132,1416800.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
38528154,200 SE 15TH RD APT 10J,Miami,FL,33129,152400.0,2.0,2.0,914.0,POINT(-80.191311 25.756546)
38528150,9629 SW 146TH CT,Miami,FL,33186,110000.0,2.0,2.0,1167.0,POINT(-80.431221 25.67665)
38528161,690 SW 1ST CT APT 2130,Miami,FL,33130,205000.0,3.253236331756704,1.0,638.0,POINT(-80.196227 25.7679)
38528170,900 BISCAYNE BLVD APT 305,Miami,FL,33132,398000.0,1.0,2.0,926.0,POINT(-80.190087 25.783418)
38528168,2775 NE 187TH ST APT 523,Miami,FL,33180,170000.0,2.0,2.0,1077.0,POINT(-80.143705 25.949229)
38528178,1680 NE 191ST ST APT 300,Miami,FL,33179,77900.0,1.0,1.5,1036.0,POINT(-80.168936 25.949072)
38528176,13513 NW 8TH ST,Miami,FL,33182,222000.0,4.0,3.0,2639.0,POINT(-80.413994 25.776174)
38528180,7920 SW 94TH CT,Miami,FL,33173,90000.0,3.0,2.0,2901.0,POINT(-80.347108 25.695151)
38528198,7795 NW 8TH AVE,Miami,FL,33150,39100.0,3.0,2.0,1357.0,POINT(-80.210989 25.846034)
38528194,744 NW 78TH ST,Miami,FL,33150,290000.0,3.0,2.0,1746.0,POINT(-80.210062 25.846085)
38528195,13543 NW 8TH ST,Miami,FL,33182,300000.0,3.0,2.0,1705.0,POINT(-80.41445 25.776159)
38528203,1670 NE 191ST ST APT 205,Miami,FL,33179,28000.0,1.0,1.5,1062.0,POINT(-80.168938 25.949077)
38528208,656 NW 128TH PL,Miami,FL,33182,100.0,4.0,2.0,2208.0,POINT(-80.40479 25.774243)
38528221,1670 NE 191ST ST APT 302,Miami,FL,33179,85000.0,2.0,2.0,1674.0,POINT(-80.168938 25.949077)
38528224,1670 NE 191ST ST APT 209,Miami,FL,33179,58000.0,2.0,2.0,1315.0,POINT(-80.168938 25.949077)
38528223,851 NE 1ST AVE PH 4912,Miami,FL,33132,578501.0567366581,3.253236331756704,2.4041736648413257,3312.0,POINT(-80.191819 25.782462)
38528222,2702 SW 153RD PATH,Miami,FL,33185,405000.0,4.0,3.0,3799.0,POINT(-80.444063 25.741438)
38528234,424 NE 108TH ST,Miami,FL,33161,320000.0,2.0,2.0,1967.0,POINT(-80.18934 25.874459)
38528233,2775 NE 187TH ST APT 423,Miami,FL,33180,340000.0,2.0,2.0,1077.0,POINT(-80.143705 25.949229)
38528239,1670 NE 191ST ST APT 311,Miami,FL,33179,76000.0,2.0,2.0,1315.0,POINT(-80.168938 25.949077)
38528249,3292 CHARLES AVE,Miami,FL,33133,578501.0567366581,3.253236331756704,2.4041736648413257,3047.0232576541885,POINT(-80.245767 25.72548)
38528248,1670 NE 191ST ST APT 310,Miami,FL,33179,240000.0,2.0,2.0,1674.0,POINT(-80.168938 25.949077)
38528247,6905 NW 21ST AVE,Miami,FL,33147,365000.0,5.0,4.0,2120.0,POINT(-80.231024 25.83737)
38528251,8561 SW 98TH AVE,Miami,FL,33173,578501.0567366581,3.0,2.0,2004.0,POINT(-80.351911 25.68914)
38528254,851 NE 1ST AVE UNIT 3712,Miami,FL,33132,578501.0567366581,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
38528259,1680 NE 191ST ST APT 301,Miami,FL,33179,578501.0567366581,1.0,1.5,1036.0,POINT(-80.168936 25.949072)
38528261,12713 SW 229TH TER,Miami,FL,33170,0.0,3.0,2.5,1716.0,POINT(-80.39699 25.55389)
38528264,1670 NE 191ST ST APT 202,Miami,FL,33179,120000.0,2.0,2.0,1674.0,POINT(-80.168938 25.949077)
38528272,10155 NW 9TH STREET CIR # 4-406,Miami,FL,33172,65000.0,2.0,2.0,958.0,POINT(-80.360735 25.778571)
38528273,703 NW 76TH ST,Miami,FL,33150,578501.0567366581,3.0,1.0,1246.0,POINT(-80.209692 25.844292)
38528274,1225 SW 78TH CT,Miami,FL,33144,202500.0,4.0,3.0,2057.0,POINT(-80.321888 25.758238)
38528290,1690 NE 191ST ST APT 109,Miami,FL,33179,35000.0,2.0,2.0,988.0,POINT(-80.168541 25.950394)
38528286,1690 NE 191ST ST APT 111,Miami,FL,33179,80000.0,1.0,1.5,1036.0,POINT(-80.168541 25.950394)
38528296,723 NW 78TH ST,Miami,FL,33150,1830000.0,2.0,2.0,3047.0232576541885,POINT(-80.2062 25.8504)
38528293,2775 NE 187TH ST PH 19,Miami,FL,33180,195000.0,1.0,1.0,828.0,POINT(-80.143705 25.949229)
38528291,2050 NW 70TH ST,Miami,FL,33147,113000.0,4.0,2.0,1534.0,POINT(-80.230842 25.83825)
38528297,851 NE 1ST AVE UNIT 1812,Miami,FL,33132,1508000.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
38528295,851 NE 1ST AVE UNIT 2012,Miami,FL,33132,668000.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
38528304,1670 NE 191ST ST APT 300,Miami,FL,33179,60000.0,1.0,1.5,1036.0,POINT(-80.168938 25.949077)
38528301,200 SE 15TH RD APT 8J,Miami,FL,33129,565000.0,2.0,2.0,914.0,POINT(-80.191311 25.756546)
38528302,9621 SW 146TH CT,Miami,FL,33186,334000.0,2.0,2.0,1167.0,POINT(-80.431223 25.676862)
38528310,10155 NW 9TH STREET CIR # 4-207,Miami,FL,33172,51900.0,2.0,2.0,1014.0,POINT(-80.360735 25.778571)
38528306,10227 NW 9TH STREET CIR APT 102,Miami,FL,33172,98900.0,2.0,2.0,958.0,POINT(-80.362701 25.778198)
38528311,3163 SW 148TH PL,Miami,FL,33185,232500.0,3.0,2.0,2477.0,POINT(-80.434941 25.737794)
38528312,14620 SW 124TH PL,Miami,FL,33186,152500.0,3.0,2.0,1441.0,POINT(-80.396142 25.632355)
38528315,1690 NE 191ST ST APT 105,Miami,FL,33179,98000.0,1.0,1.5,1036.0,POINT(-80.168541 25.950394)
38528321,15430 SW 82ND LN APT 635,Miami,FL,33193,125000.0,2.0,2.0,968.0,POINT(-80.443091 25.69008)
38528323,2943 NW 28TH ST,Miami,FL,33142,127800.0,4.0,2.0,1936.0,POINT(-80.242977 25.801863)
38528325,1680 NE 191ST ST APT 216,Miami,FL,33179,30000.0,1.0,1.0,909.0,POINT(-80.168936 25.949072)
38528327,726 NW 76TH ST,Miami,FL,33150,314900.0,2.0,1.0,1162.0,POINT(-80.209671 25.843903)
38528330,2975 NW 28TH ST,Miami,FL,33142,180000.0,2.0,1.0,1350.0,POINT(-80.243574 25.801876)
38528337,840 NW 77TH ST,Miami,FL,33150,578501.0567366581,3.0,1.0,1540.0,POINT(-80.211976 25.84457)
38528332,851 NE 1ST AVE UNIT 2112,Miami,FL,33132,1575000.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
38528342,9531 SW 79TH ST,Miami,FL,33173,578501.0567366581,3.0,2.0,1795.0,POINT(-80.348793 25.695903)
38528345,13533 NW 8TH ST,Miami,FL,33182,14500.0,3.0,2.0,1705.0,POINT(-80.414298 25.776164)
38528352,460 NE 109TH ST,Miami,FL,33161,210000.0,3.0,1.5,1402.0,POINT(-80.188392 25.875417)
38528348,1901 BRICKELL AVE APT B410,Miami,FL,33129,100000.0,1.0,1.5,1056.0,POINT(-80.196305 25.754149)
38528351,7801 SW 98TH AVE,Miami,FL,33173,135000.0,3.0,1.0,1918.0,POINT(-80.352131 25.695856)
38528350,851 NE 1ST AVE UNIT 3512,Miami,FL,33132,1530000.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
